ID,Question,Answer
1,Are your cashews organic?,"Yes, our cashews are certified organic."
2,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
3,How should I store pistachios?,"Keep them in an airtight container in a cool, dry place."
4,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
5,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
6,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
7,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
8,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
9,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
10,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
11,Are your pistachios organic?,"Yes, our pistachios are certified organic."
12,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
13,How should I store macadamia nuts?,Store in the refrigerator for maximum freshness.
14,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
15,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
16,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
17,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
18,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
19,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
20,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
21,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
22,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
23,How should I store brazil nuts?,Keep away from direct sunlight.
24,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
25,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
26,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
27,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
28,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
29,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
30,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
31,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
32,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
33,How should I store cashews?,"Keep them in an airtight container in a cool, dry place."
34,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
35,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
36,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
37,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
38,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
39,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
40,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
41,Are your cashews organic?,"Yes, our cashews are certified organic."
42,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
43,How should I store pistachios?,Store in the refrigerator for maximum freshness.
44,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
45,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
46,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
47,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
48,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
49,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
50,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
51,Are your pistachios organic?,"Yes, our pistachios are certified organic."
52,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
53,How should I store macadamia nuts?,Keep away from direct sunlight.
54,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
55,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
56,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
57,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
58,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
59,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
60,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
61,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
62,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
63,How should I store brazil nuts?,"Keep them in an airtight container in a cool, dry place."
64,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
65,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
66,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
67,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
68,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
69,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
70,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
71,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
72,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
73,How should I store cashews?,Store in the refrigerator for maximum freshness.
74,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
75,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
76,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
77,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
78,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
79,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
80,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
81,Are your cashews organic?,"Yes, our cashews are certified organic."
82,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
83,How should I store pistachios?,Keep away from direct sunlight.
84,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
85,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
86,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
87,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
88,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
89,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
90,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
91,Are your pistachios organic?,"Yes, our pistachios are certified organic."
92,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
93,How should I store macadamia nuts?,"Keep them in an airtight container in a cool, dry place."
94,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
95,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
96,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
97,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
98,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
99,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
100,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
101,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
102,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
103,How should I store brazil nuts?,Store in the refrigerator for maximum freshness.
104,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
105,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
106,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
107,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
108,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
109,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
110,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
111,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
112,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
113,How should I store cashews?,Keep away from direct sunlight.
114,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
115,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
116,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
117,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
118,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
119,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
120,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
121,Are your cashews organic?,"Yes, our cashews are certified organic."
122,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
123,How should I store pistachios?,"Keep them in an airtight container in a cool, dry place."
